algorithm,count,mean,median,std,min,max,mean_s,median_s
ExecutorService,20,26860.8,26997.5,1729.7324587771866,24331,31063,26.860799999999998,26.9975
JavaParallelStream,20,28483.15,28424.0,1724.755032949379,26043,33479,28.483150000000002,28.424
sequential,20,121637.45,123148.0,9552.703973634625,100614,137407,121.63745,123.148
